捏脸ID,作者,源链接,
坤坤iKun,B站:元婴培养皿,https://www.bilibili.com/video/BV1U1WpzWEDh/?spm_id_from=333.337.search-card.all.click&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
假面骑士,小黑盒：玩家18596612,https://www.xiaoheihe.cn/app/bbs/link/167083798,
机器人,小黑盒：GEARLESSJOE,https://www.xiaoheihe.cn/app/bbs/link/167121883,
QQ企鹅,B站：咸汪,https://www.bilibili.com/video/BV1zes5zXEoX/?spm_id_from=333.1387.homepage.video_card.click&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
阿姆斯特朗回旋炮,B站：洄游雨,https://www.bilibili.com/video/BV1y7skzME1T/?spm_id_from=333.1391.0.0&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
蝙蝠侠,小黑盒：雾缠林故事站,https://www.xiaoheihe.cn/app/bbs/link/93987108afbc,
川普,B站：Starry_Night星海之夜,https://www.bilibili.com/video/BV1y7skzME1T/?spm_id_from=333.1391.0.0&vd_source=276a4b056a6ccc3d92887c1f90bd9419,评论区留的码
痞老板,小黑盒：雾缠林故事站,https://www.xiaoheihe.cn/app/bbs/link/93987108afbc,
蟹老板,B站：去你玛卡巴卡的小香皂,https://www.bilibili.com/video/BV1G1syzoEFR/?spm_id_from=333.1391.0.0&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
夜枭,B站：刻风Ke_F,https://www.bilibili.com/video/BV1y7skzME1T/?spm_id_from=333.1391.0.0&vd_source=276a4b056a6ccc3d92887c1f90bd9419,评论区留的码
鹈鹕,小黑盒：米糕饭团,https://www.xiaoheihe.cn/app/bbs/link/0f1971063a13,
座山鸭,小黑盒：座山鸭,https://www.xiaoheihe.cn/app/bbs/link/167088475,
小黄人,小黑盒：九片猫,https://www.xiaoheihe.cn/app/bbs/link/167177834,
奥特曼,B站：欢脱的烁鸽,https://www.bilibili.com/video/BV16LWnzKEuD/?spm_id_from=333.1391.0.0&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
咸蛋超人,小黑盒：builldd,https://www.xiaoheihe.cn/app/bbs/link/29c571082e33,
贝利鸭,小黑盒：九片猫,https://www.xiaoheihe.cn/app/bbs/link/167176271,
宇智波佐助,小黑盒：香蕉菌banana,https://www.xiaoheihe.cn/app/bbs/link/167174667,
惩戒小白鸟,B站：哈莫林的奏者,https://www.bilibili.com/video/BV15TW9zDE3n/?spm_id_from=333.1391.0.0&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
十字眼鸭,小黑盒：一只小安,https://www.xiaoheihe.cn/app/bbs/link/10a8710a0f0d,
电机小子,小黑盒：雾缠林故事站,https://www.xiaoheihe.cn/app/bbs/link/93987108afbc,
愤怒的乌鸦,小黑盒：米糕饭团,https://www.xiaoheihe.cn/app/bbs/link/0f1971063a13,
海鸥,小黑盒：米糕饭团,https://www.xiaoheihe.cn/app/bbs/link/0f1971063a13,
罗马战士,小黑盒：水桶当头我乐意,https://www.xiaoheihe.cn/app/bbs/link/166831524,
猫头鹰,小黑盒：米糕饭团,https://www.xiaoheihe.cn/app/bbs/link/0f1971063a13,
国王,小黑盒：冰之木叶,https://www.xiaoheihe.cn/app/bbs/link/167174230,
秃鹫,小黑盒：米糕饭团,https://www.xiaoheihe.cn/app/bbs/link/0f1971063a13,
白眉,小黑盒：米糕饭团,https://www.xiaoheihe.cn/app/bbs/link/0f1971063a13,
鸭嘴兽,B站：平成最後の魚を触る人,https://www.bilibili.com/opus/1128604297489022995?spm_id_from=333.1387.0.0,
非主流,小黑盒：自碑还是红碑,https://www.xiaoheihe.cn/app/bbs/link/167051318?htk=3cda18af18d73a86379499b39e7831c8,
马达加斯加的企鹅,小黑盒：山与,https://www.xiaoheihe.cn/app/bbs/link/167590635?htk=f59d4842d513e56d1996d6fbe5142b1e,
叮咚鸡,B站：帕帕帕秋莉_,https://www.bilibili.com/video/BV14yWnzjEak/?spm_id_from=333.337.search-card.all.click&vd_source=276a4b056a6ccc3d92887c1f90bd9419,
绿巨人,小黑盒：雾缠林故事站,https://www.xiaoheihe.cn/app/bbs/link/166919391?htk=d47ad7ec5a722c7bd63f5d740416a9d0,
二郎神,小黑盒：斗鱼Tv小闷骚,https://www.xiaoheihe.cn/app/bbs/link/166705330,
黄三鸭,小黑盒：阿莱德莱斯,https://www.xiaoheihe.cn/app/bbs/link/166794354,
凤凰鸭,小黑盒：沫糍,https://www.xiaoheihe.cn/app/bbs/link/167228998,
泰瑞鸭,小黑盒：瑛珏,https://www.xiaoheihe.cn/app/bbs/link/167131783,
黄晒儿的春丽,小黑盒：麦丫Maiya,https://www.xiaoheihe.cn/app/bbs/link/167047603,
钢铁战斗机,小黑盒：彩色琥珀,https://www.xiaoheihe.cn/app/bbs/link/167097519?htk=2a410bd66e486314d853dfd5125a6888,
特异鸭士,小黑盒：ZzshrR,https://www.xiaoheihe.cn/app/bbs/link/167117459,
鼹鼠,小黑盒：信阳农林学院招生办,https://www.xiaoheihe.cn/app/bbs/link/167056016,
